age,income,emp,amount,intrest,status,percent,default,history,cust_id,risk,ownership_OTHER,ownership_OWN,ownership_RENT,intend_EDUCATION,intend_HOMEIMPROVEMENT,intend_MEDICAL,intend_PERSONAL,intend_VENTURE,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G
-0.9273715853097912,-0.1411378878145398,4.278665812819484,4.019403764559302,1.6259211894310919,1.0,3.953191279237178,1,-0.6915544446924091,1,73.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.0899315397988818,-1.4478206295695335,0.3896310369742091,-1.3586499846939326,0.042309678460683786,0.0,-0.623195831226206,0,-0.9381672830370894,2,31.000000000000007,0,1,0,1,0,0,0,0,1,0,0,0,0,0
-0.4396917218425193,-1.4478206295695335,-1.0211367434268266,-0.6468487531751221,0.6037129395219142,1.0,3.763196868513969,0,-0.6915544446924091,3,51.00000000000001,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.7648116308207006,0.030794051890064657,0.15550533070771672,4.019403764559302,1.369557850564981,1.0,3.4023146871104095,0,-0.9381672830370894,4,51.99999999999999,0,0,1,0,0,1,0,0,0,1,0,0,0,0
-0.6022516763316099,-0.262812798990106,0.9103034493402676,4.019403764559302,1.0580277172593266,1.0,4.422589235141578,1,-0.4449416063477287,5,72.00000000000001,0,0,1,0,0,1,0,0,0,1,0,0,0,0
-1.0899315397988818,-1.4398853092754749,-0.5004643310607684,-1.1213829075209958,-1.2557325436462088,1.0,0.7650900737420651,0,-0.9381672830370894,6,34.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.27713176735342865,0.3376264365936664,0.9103034493402676,4.019403764559302,0.45768318953488907,1.0,2.650005119812074,0,-0.6915544446924091,7,48.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
-0.6022516763316099,0.3867196181462427,0.3896310369742091,4.019403764559302,0.032574361794881726,1.0,2.55014945000501,0,-0.4449416063477287,8,49.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
-0.6022516763316099,0.4936877357101535,0.9103034493402676,4.019403764559302,-0.6845939659191759,1.0,2.3480420617704856,0,-0.9381672830370894,9,46.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
-1.0899315397988818,-1.4372402025107887,0.5875815010918645,-1.2637431538247579,1.2105476783568867,1.0,-0.10072772299048677,0,-0.6915544446924091,10,39.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
